,titles,V1
1,Mahendra Singh Dhoni,5
2,Sachin Tendulkar,5
3,Saina Nehwal,5
4,Sardara Singh,5
5,Michael Phelps,2
6,The Prestige (film),6
7,Avatar (2009 film),1
8,Interstellar (film),1
9,Inception,6
10,Iron Man (2008 film),6
11,Paneer,4
12,Pizza,4
13,Biryani,4
14,Pasta,4
15,Roti,4
16,Bharatanatyam,4
17,Kuchipudi,4
18,Ballet,4
19,Yakshagana,4
20,Kathak,4
21,Harry Potter,1
22,Nancy Drew,6
23,Panchatantra,4
24,Ramayana,4
25,As You Like It,6
26,France,3
27,India,3
28,United States,3
29,Germany,3
30,Japan,3
